stage_name,member_name,filename,relative_path,dtype,numel,shape,source_key,note
pvss_ds_weight_enc1_mag,ssm_out_norm_w,ssm_out_norm_w.bin,pvss_ds_weight_enc1_mag/ssm_out_norm_w.bin,float32,4,4,layers_encoder_mag.1.blocks.0.ss2d.out_norm.weight,
pvss_ds_weight_enc1_mag,ssm_out_norm_b,ssm_out_norm_b.bin,pvss_ds_weight_enc1_mag/ssm_out_norm_b.bin,float32,4,4,layers_encoder_mag.1.blocks.0.ss2d.out_norm.bias,
pvss_ds_weight_enc1_mag,ssm_out_projection_w,ssm_out_projection_w.bin,pvss_ds_weight_enc1_mag/ssm_out_projection_w.bin,int8,8,2x4,layers_encoder_mag.1.blocks.0.ss2d.out_proj.weight_int8,"act scale folded, requantized per OC"
pvss_ds_weight_enc1_mag,ssm_out_projection_w_quant_scale,ssm_out_projection_w_quant_scale.bin,pvss_ds_weight_enc1_mag/ssm_out_projection_w_quant_scale.bin,float32,4,4,layers_encoder_mag.1.blocks.0.ss2d.out_proj.a_scale,sq_s*a_scale*a_scale_mul
pvss_ds_weight_enc1_mag,ssm_out_projection_w_dequant_scale,ssm_out_projection_w_dequant_scale.bin,pvss_ds_weight_enc1_mag/ssm_out_projection_w_dequant_scale.bin,float32,2,2,layers_encoder_mag.1.blocks.0.ss2d.out_proj.w_scale,per-OC; int32 acc -> f32
pvss_ds_weight_enc1_mag,mlp_norm_w,mlp_norm_w.bin,pvss_ds_weight_enc1_mag/mlp_norm_w.bin,float32,32,32,layers_encoder_mag.1.blocks.0.norm2.weight,
pvss_ds_weight_enc1_mag,mlp_norm_b,mlp_norm_b.bin,pvss_ds_weight_enc1_mag/mlp_norm_b.bin,float32,32,32,layers_encoder_mag.1.blocks.0.norm2.bias,
pvss_ds_weight_enc1_mag,mlp_fc1_w,mlp_fc1_w.bin,pvss_ds_weight_enc1_mag/mlp_fc1_w.bin,int8,1024,32x32,layers_encoder_mag.1.blocks.0.mlp.fc1.weight_int8,"act scale folded, requantized per OC"
pvss_ds_weight_enc1_mag,mlp_fc1_w_quant_scale,mlp_fc1_w_quant_scale.bin,pvss_ds_weight_enc1_mag/mlp_fc1_w_quant_scale.bin,float32,32,32,layers_encoder_mag.1.blocks.0.mlp.fc1.a_scale,sq_s*a_scale*a_scale_mul
pvss_ds_weight_enc1_mag,mlp_fc1_w_dequant_scale,mlp_fc1_w_dequant_scale.bin,pvss_ds_weight_enc1_mag/mlp_fc1_w_dequant_scale.bin,float32,32,32,layers_encoder_mag.1.blocks.0.mlp.fc1.w_scale,per-OC; int32 acc -> f32
