stage_name,member_name,filename,relative_path,dtype,numel,shape,source_key,note
pvss_ds_weight_enc2_mag,ssm_out_norm_b,ssm_out_norm_b.bin,pvss_ds_weight_enc2_mag/ssm_out_norm_b.bin,float32,8,8,layers_encoder_mag.2.blocks.0.ss2d.out_norm.bias,
pvss_ds_weight_enc2_mag,ssm_out_projection_w,ssm_out_projection_w.bin,pvss_ds_weight_enc2_mag/ssm_out_projection_w.bin,float32,32,4x8,layers_encoder_mag.2.blocks.0.ss2d.out_proj.weight,
pvss_ds_weight_enc2_mag,mlp_norm_w,mlp_norm_w.bin,pvss_ds_weight_enc2_mag/mlp_norm_w.bin,float32,64,64,layers_encoder_mag.2.blocks.0.norm2.weight,
pvss_ds_weight_enc2_mag,mlp_norm_b,mlp_norm_b.bin,pvss_ds_weight_enc2_mag/mlp_norm_b.bin,float32,64,64,layers_encoder_mag.2.blocks.0.norm2.bias,
pvss_ds_weight_enc2_mag,mlp_fc1_w,mlp_fc1_w.bin,pvss_ds_weight_enc2_mag/mlp_fc1_w.bin,float32,4096,64x64,layers_encoder_mag.2.blocks.0.mlp.fc1.weight,
pvss_ds_weight_enc2_mag,mlp_fc1_b,mlp_fc1_b.bin,pvss_ds_weight_enc2_mag/mlp_fc1_b.bin,float32,64,64,layers_encoder_mag.2.blocks.0.mlp.fc1.bias,
pvss_ds_weight_enc2_mag,mlp_fc2_w,mlp_fc2_w.bin,pvss_ds_weight_enc2_mag/mlp_fc2_w.bin,float32,8192,128x64,layers_encoder_mag.2.blocks.0.mlp.fc2.mlp_dim_redu.weight,
pvss_ds_weight_enc2_mag,mlp_fc2_b,mlp_fc2_b.bin,pvss_ds_weight_enc2_mag/mlp_fc2_b.bin,float32,128,128,<generated>,zero bias placeholder
pvss_ds_weight_enc2_mag,mlp_fc_res_w,mlp_fc_res_w.bin,pvss_ds_weight_enc2_mag/mlp_fc_res_w.bin,float32,8192,128x64,layers_encoder_mag.2.blocks.0.skip_proj.skip_dim_redu.weight,
pvss_ds_weight_enc2_mag,mlp_fc_res_b,mlp_fc_res_b.bin,pvss_ds_weight_enc2_mag/mlp_fc_res_b.bin,float32,128,128,<generated>,zero bias placeholder
